first_name,last_name,email,phone,city,address,job_title,annual_income,current_vehicle_owner,current_vehicle_name,current_vehicle_year,current_vehicle_price,source,status,lead_score,priority,follow_up_date,closure_probability,next_action,ai_score,ai_prediction,ai_confidence,conversion_prediction,vehicle_id
Kiran,Singh,kiran1@gmail.com,9252205199,Chennai,Address 1,Manager,734343,False,,2022,,call,test_completed,71,low,2025-12-28,98,Follow up call,0.92,Low Chance,Medium,Unlikely,2
Amit,Kumar,amit2@gmail.com,9819434816,Hyderabad,Address 2,Analyst,1332154,False,Swift,2018,,referral,won,7,medium,2025-11-23,1,Follow up call,0.57,Low Chance,Low,Likely,1
Priya,Verma,priya3@gmail.com,9678917392,Delhi,Address 3,Sales Executive,539738,True,City,2019,500000,walkin,test_driven,96,high,2025-07-25,36,Follow up call,0.33,Low Chance,Low,Unlikely,1
Amit,Verma,amit4@gmail.com,9732858203,Mumbai,Address 4,Analyst,524948,False,Creta,2018,900000,walkin,negotiation,70,medium,2025-12-16,63,Follow up call,0.86,High Chance,Low,Unknown,3
Vijay,Sharma,vijay5@gmail.com,9695542034,Pune,Address 5,Analyst,1348630,False,City,2021,,website,negotiation,27,high,2025-10-24,32,Follow up call,0.99,Medium Chance,Medium,Likely,1
Ravi,Das,ravi6@gmail.com,9944646646,Mumbai,Address 6,Software Engineer,820474,True,Creta,2019,500000,referral,contacted,35,medium,2025-08-11,62,Follow up call,0.91,High Chance,Medium,Unknown,4
Suresh,Sharma,suresh7@gmail.com,9167849977,Bangalore,Address 7,Manager,1044690,True,Swift,2021,,referral,contacted,74,low,2025-10-02,95,Follow up call,0.39,High Chance,Medium,Unknown,5
Anita,Patel,anita8@gmail.com,9457420859,Pune,Address 8,Sales Executive,994069,False,Swift,,500000,walkin,test_driven,53,high,2025-08-17,18,Follow up call,0.75,Medium Chance,Medium,Unlikely,3
Ravi,Das,ravi9@gmail.com,9750211762,Hyderabad,Address 9,Business Owner,906789,False,Baleno,,700000,website,lost,36,low,2025-09-01,83,Follow up call,0.95,Low Chance,High,Likely,1
Vijay,Patel,vijay10@gmail.com,9386788600,Delhi,Address 10,Analyst,1867738,False,Baleno,2019,,referral,contacted,7,medium,2025-08-03,35,Follow up call,0.9,High Chance,High,Unknown,5
Priya,Verma,priya11@gmail.com,9749731413,Hyderabad,Address 11,Analyst,335826,True,City,2022,,referral,new,71,medium,2025-09-17,45,Follow up call,0.91,Medium Chance,Low,Unknown,5
Neha,Singh,neha12@gmail.com,9409860285,Delhi,Address 12,Software Engineer,1811326,False,City,,,call,test_driven,9,low,2025-10-21,71,Follow up call,0.22,Low Chance,High,Unlikely,2
Suresh,Reddy,suresh13@gmail.com,9353567456,Chennai,Address 13,Software Engineer,491362,False,Creta,2019,900000,referral,negotiation,90,high,2025-11-01,40,Follow up call,0.99,High Chance,Medium,Unknown,3
Suresh,Das,suresh14@gmail.com,9970452655,Chennai,Address 14,Manager,769318,False,,2019,,referral,won,35,low,2025-11-28,0,Follow up call,0.12,Medium Chance,Low,Likely,2
Neha,Kumar,neha15@gmail.com,9392325673,Mumbai,Address 15,Business Owner,1006706,False,Swift,,,walkin,negotiation,65,high,2025-11-29,84,Follow up call,0.58,Low Chance,Low,Likely,4
Neha,Patel,neha16@gmail.com,9293976952,Delhi,Address 16,Business Owner,1785525,False,City,,,website,test_driven,90,medium,2025-08-05,70,Follow up call,0.61,High Chance,Low,Likely,2
Anita,Verma,anita17@gmail.com,9333377436,Bangalore,Address 17,Sales Executive,441750,True,City,2020,700000,referral,new,70,high,2025-12-09,40,Follow up call,0.72,Low Chance,High,Unlikely,1
